Vivado Simulator 2018.2
Time resolution is 1 ps
At time 71000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 72000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 73000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 74000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 75000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 76000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 77000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 78000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 79000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 80000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 81000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 82000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 83000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 84000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 85000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 86000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 87000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 88000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 89000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 90000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 91000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 92000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 93000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 94000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 95000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 96000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 97000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 98000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 99000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 100000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 101000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 102000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 103000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 104000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 105000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 106000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 107000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 108000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 109000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 110000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 111000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 112000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 113000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 114000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 115000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 116000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 117000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 118000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 119000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 120000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 121000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
At time 122000100ns:sys_rst_n = 1, an = 0010, a_to_g = 10100100, open = 1
At time 123000100ns:sys_rst_n = 1, an = 0100, a_to_g = 10010010, open = 1
At time 124000100ns:sys_rst_n = 1, an = 1000, a_to_g = 11000000, open = 1
At time 125000100ns:sys_rst_n = 1, an = 0001, a_to_g = 11000000, open = 1
